-1,-0.53564453,-0.51660156,-0.5263672,-0.3779297,-0.55126953,-1.1279297,-0.8149414,3.506836,2.927246,-0.6142578,-1.0644531,-3.715332,-2.1879883,-0.27539062,0.3305664,0.24609375,0.50341797,0.6972656,0.7573242,0.94189453,0.4946289,-0.037597656,-0.3857422,-0.49658203,-0.31396484,-0.17382812,-0.14990234,-0.15332031,-0.19921875,-0.18115234,-0.017578125,0.16992188,0.29638672,0.25927734,0.35791016,0.36279297,0.36376953,0.5029297,0,0,0,0,0,0
-1,-0.33203125,-0.3618164,-0.34472656,-0.40722656,-0.4267578,-0.8491211,-0.8964844,1.487793,3.0551758,0.5541992,-1.6035156,-2.331543,-2.645996,-0.5605469,0.39013672,0.064941406,0.33691406,0.25732422,0.3330078,0.34375,0.30029297,-0.064453125,-0.42285156,-0.4711914,-0.25341797,-0.044433594,-0.088378906,-0.10253906,-0.22802734,-0.25878906,-0.104003906,0.17089844,0.28759766,0.35107422,0.54345703,0.6533203,0.7192383,0.77441406,0,0,0,0,0,0
-1,-0.29492188,-0.4116211,-0.53466797,-0.5288086,-0.38916016,-0.6152344,-1.0141602,-0.31835938,3.5341797,3.1152344,-0.96875,-1.0185547,-3.684082,-2.0996094,-0.017089844,0.12695312,0.28808594,0.3540039,0.26123047,0.40234375,0.53515625,0.35791016,0.045898438,-0.38378906,-0.34326172,-0.25634766,-0.15771484,-0.2861328,-0.36767578,-0.37158203,-0.2529297,0.045410156,0.15185547,0.12158203,0.2524414,0.36279297,0.4091797,0.52490234,0.6152344,0,0,0,0,0
-1,-0.42773438,-0.5234375,-0.5209961,-0.5317383,-0.84814453,-1.050293,0.30322266,3.128418,1.9335938,-1.6108398,-1.0424805,-2.5512695,-0.95703125,0.5786133,-0.0390625,0.34960938,0.0063476562,0.14648438,0.18408203,0.1977539,0.04296875,-0.28466797,-0.41357422,-0.104003906,-0.067871094,-0.052246094,-0.123046875,-0.20166016,-0.15429688,-0.05859375,0.16113281,0.18261719,0.1484375,0.28808594,0.37304688,0.41357422,0.5605469,0,0,0,0,0,0,0
-1,-0.5439453,-0.6899414,-0.83496094,-0.76123047,-0.796875,-1.0996094,-0.5566406,3.1381836,4.1660156,-0.7036133,-0.32080078,-3.3291016,-2.234375,-0.00390625,0.03564453,0.25878906,0.10107422,0.53466797,0.56152344,0.5810547,0.3935547,0.083984375,-0.18652344,-0.24023438,-0.26708984,-0.17626953,-0.32763672,-0.4189453,-0.3876953,-0.37841797,-0.11816406,0.040527344,0.04248047,0.08496094,0.2265625,0.2553711,0.34814453,0.5605469,0,0,0,0,0,0
-1,-0.4453125,-0.49414062,-0.61816406,-0.72509766,-0.76953125,-1.1958008,-1.0043945,2.703125,4.3012695,0.03125,-0.8388672,-3.3325195,-3.239746,-1.,0.32421875,-0.080566406,0.26171875,0.20703125,0.35302734,0.52685547,0.4609375,-0.067871094,-0.35351562,-0.45654297,-0.19238281,0.05078125,0.001953125,-0.05517578,-0.110839844,-0.20117188,-0.07373047,0.1484375,0.083984375,0.038085938,0.27539062,0.36279297,0.5053711,0.8183594,0,0,0,0,0,0
-1,-0.5600586,-0.59814453,-0.7392578,-0.7817383,-0.7836914,-1.0048828,-1.3745117,0.31201172,3.6699219,3.112793,-0.75878906,-1.6123047,-2.8632812,-1.0771484,0.19921875,0.13232422,0.24853516,0.50439453,0.48779297,0.5883789,0.6538086,0.15136719,-0.23730469,-0.46777344,-0.48583984,-0.43066406,-0.26123047,-0.3930664,-0.50683594,-0.38964844,-0.09375,0.0859375,0.059570312,0.14697266,0.31982422,0.52685547,0.7241211,0.83935547,0,0,0,0,0,0
-1,-0.19238281,-0.34472656,-0.5048828,-0.5576172,-0.7421875,-1.105957,-0.4716797,2.5493164,2.7773438,-0.24804688,-0.9082031,-3.1591797,-2.0605469,0.12207031,0.33544922,0.2055664,0.27978516,0.28857422,0.515625,0.59521484,0.3227539,-0.08300781,-0.44482422,-0.39208984,-0.18945312,0.0063476562,-0.110839844,-0.3232422,-0.4794922,-0.36132812,-0.05517578,0.001953125,-0.015625,0.0859375,0.11816406,0.2397461,0.42919922,0,0,0,0,0,0,0
-1,-0.31640625,-0.3017578,-0.22460938,-0.40673828,-0.71435547,-1.2265625,-0.35888672,2.2441406,2.7294922,-0.0625,-0.3725586,-2.9575195,-1.965332,-0.19433594,0.56884766,0.083984375,0.39941406,0.23583984,0.29345703,0.19140625,0.084472656,-0.3173828,-0.3466797,-0.23291016,-0.11669922,0.04296875,0.037597656,-0.14453125,-0.29345703,-0.3828125,-0.068847656,0.08300781,0.21826172,0.50927734,0.68066406,0.83154297,0.8720703,0,0,0,0,0,0,0
-1,-0.1977539,-0.27246094,-0.46484375,-0.8105469,-1.0703125,-1.5883789,-0.40625,3.3198242,3.2045898,-1.0219727,-1.0083008,-3.4936523,-2.027832,0.16015625,0.5708008,0.55810547,0.7988281,0.6425781,0.7285156,0.72753906,0.45996094,0.076660156,-0.12939453,-0.24511719,-0.28515625,-0.08203125,-0.11328125,-0.22509766,-0.28125,-0.14501953,0.009765625,0.025390625,0.072753906,0.28515625,0.375,0.51220703,0.5756836,0,0,0,0,0,0,0
-1,-0.3959961,-0.42871094,-0.4790039,-0.60546875,-0.7973633,-1.1357422,-0.69628906,3.0639648,3.336914,-1.3378906,-0.4399414,-3.2172852,-1.8813477,0.18359375,-0.024414062,0.20166016,0.73046875,0.6738281,0.6245117,0.47607422,0.03515625,-0.47558594,-0.7626953,-0.5473633,-0.28125,-0.14892578,-0.10498047,-0.16992188,-0.19238281,-0.19384766,0.0029296875,0.115234375,0.10986328,0.24316406,0.38183594,0.4711914,0.59472656,0.7763672,0,0,0,0,0,0
-1,-0.53271484,-0.5810547,-0.54003906,-0.5288086,-0.6689453,-1.0708008,-0.4819336,3.4926758,3.1357422,-1.4169922,-0.6879883,-3.4057617,-1.7260742,0.2993164,0.09814453,0.55566406,0.3955078,0.3642578,0.5073242,0.33544922,-0.026855469,-0.31347656,-0.60791016,-0.4428711,-0.2475586,-0.08984375,-0.072265625,-0.114746094,-0.19921875,-0.17919922,-0.060058594,0.026855469,0.13769531,0.34521484,0.4975586,0.66308594,0.7338867,0.84765625,0,0,0,0,0,0
-1,-0.33154297,-0.4873047,-0.61328125,-0.5908203,-0.5654297,-0.5957031,-1.0483398,-0.2578125,3.9291992,3.2504883,-1.262207,-0.79833984,-3.3881836,-2.1171875,0.057617188,0.34960938,0.47998047,0.42285156,0.2758789,0.38427734,0.44970703,0.19091797,-0.048828125,-0.38134766,-0.39892578,-0.2241211,-0.13427734,-0.17871094,-0.20800781,-0.30029297,-0.30566406,-0.16210938,0.048339844,0.15917969,0.20458984,0.28466797,0.32177734,0.37304688,0.54785156,0.69433594,0,0,0,0
-1,-0.30419922,-0.31835938,-0.35888672,-0.55859375,-0.7290039,-1.1435547,-1.2104492,1.8422852,4.3115234,0.49267578,-0.39501953,-3.0078125,-2.8208008,-0.75683594,0.26464844,0.03515625,0.18115234,0.12207031,0.20361328,0.3569336,0.35058594,0.06640625,-0.24316406,-0.33007812,-0.2163086,-0.100097656,0.01171875,-0.061523438,-0.122558594,-0.1171875,0.032714844,0.16259766,0.20117188,0.15527344,0.14990234,0.15820312,0.10253906,0.2602539,0,0,0,0,0,0
-1,-0.12060547,-0.296875,-0.4345703,-0.4296875,-0.34326172,-0.5566406,-1.0712891,-0.15185547,2.9624023,2.2226562,-1.8300781,-0.86816406,-2.993164,-1.3579102,0.140625,-0.092285156,0.25634766,0.2607422,0.31640625,0.3701172,0.31347656,0.033203125,-0.31689453,-0.4819336,-0.4248047,-0.23730469,-0.07519531,-0.22509766,-0.35791016,-0.37939453,-0.39160156,-0.12451172,0.012207031,0.140625,0.35791016,0.5419922,0.65722656,0.72802734,0,0,0,0,0,0
-1,-0.29345703,-0.421875,-0.48632812,-0.5678711,-0.5708008,-0.7363281,-1.2314453,1.003418,4.064453,1.2358398,-1.4575195,-2.2636719,-3.307129,-1.2880859,0.47998047,0.29638672,0.56591797,0.55859375,0.6035156,0.5541992,0.43847656,0.06689453,-0.35351562,-0.61279297,-0.3515625,-0.10205078,0.026367188,-0.044433594,-0.16699219,-0.32470703,-0.29101562,-0.12695312,0.028320312,0.09082031,0.09326172,0.18310547,0.21972656,0.23486328,0.4111328,0,0,0,0,0
-1,-0.19091797,-0.22363281,-0.18896484,-0.24707031,-0.58935547,-1.1728516,-1.7568359,1.6464844,3.4521484,1.3330078,-0.5097656,-3.0004883,-2.8017578,-0.82421875,0.42236328,0.09765625,0.37402344,0.4345703,0.5234375,0.4921875,0.5854492,0.2290039,-0.20800781,-0.4609375,-0.40185547,-0.17578125,-0.1303711,-0.25830078,-0.32958984,-0.45263672,-0.34228516,-0.15136719,-0.032226562,-0.0063476562,0.07421875,0.17626953,0.21826172,0.3466797,0.5263672,0,0,0,0,0
-1,-0.48046875,-0.47802734,-0.52441406,-0.6484375,-1.2045898,-1.2246094,1.8305664,2.4541016,0.8222656,-1.6123047,-1.5654297,-2.5078125,-1.0507812,0.69433594,0.19140625,0.57421875,0.41308594,0.5361328,0.60302734,0.5107422,0.23144531,-0.15673828,-0.110839844,0.14013672,0.28173828,0.51904297,0.36035156,0.22607422,0.03564453,-0.036132812,-0.041992188,0.071777344,0.13232422,0.1484375,0.18261719,0.24072266,0.234375,0.3564453,0,0,0,0,0,0
-1,-0.25634766,-0.2861328,-0.27294922,-0.3623047,-0.5722656,-0.9970703,-1.3701172,2.0292969,3.9736328,0.68603516,-0.5830078,-3.3310547,-2.9311523,-0.69140625,0.4951172,-0.16992188,0.50097656,0.58447266,0.7734375,0.8979492,0.80029297,0.45751953,-0.06689453,-0.37939453,-0.21679688,-0.041992188,0.029296875,-0.041503906,-0.1303711,-0.24560547,-0.18945312,-0.07421875,0.06347656,0.057128906,0.057617188,0.07128906,0.033203125,0.096191406,0,0,0,0,0,0
-1,-0.45166016,-0.4736328,-0.38378906,-0.54003906,-0.86376953,-1.1767578,0.49658203,3.0673828,1.934082,-0.82128906,-1.1123047,-2.7983398,-1.2119141,0.45751953,-0.0073242188,0.15429688,0.4658203,0.38623047,0.62939453,0.6801758,0.40820312,-0.0063476562,-0.23583984,-0.24072266,-0.06201172,-0.047851562,-0.2109375,-0.25683594,-0.32861328,-0.16503906,-0.01953125,0.1381836,0.11621094,0.19873047,0.26123047,0.30126953,0.38427734,0,0,0,0,0,0,0
-1,-0.390625,-0.46289062,-0.6040039,-0.72509766,-0.88964844,-1.347168,-0.30078125,3.3232422,3.8544922,-0.24121094,-0.2084961,-3.3188477,-2.224121,-0.05078125,0.18701172,0.3310547,0.21679688,0.2397461,0.39501953,0.43652344,0.16455078,-0.21044922,-0.3701172,-0.2475586,-0.12158203,-0.12011719,-0.09863281,-0.1928711,-0.28271484,-0.16699219,0.083984375,0.1665039,0.115234375,0.25195312,0.3569336,0.36523438,0.38085938,0.5332031,0,0,0,0,0,0
-1,-0.28173828,-0.36328125,-0.42578125,-0.4663086,-0.62353516,-1.0615234,-1.609375,0.6977539,3.3842773,1.487793,-1.543457,-2.0898438,-3.0454102,-1.0454102,0.45361328,0.34423828,0.5317383,0.5292969,0.57910156,0.6303711,0.6166992,0.45654297,0.12158203,-0.21289062,-0.25439453,-0.15136719,-0.1850586,-0.29882812,-0.4111328,-0.47558594,-0.40576172,-0.140625,0.033203125,0.088378906,0.20263672,0.3544922,0.50097656,0.6176758,0.7241211,0,0,0,0,0
-1,-0.5961914,-0.70410156,-0.66259766,-0.4819336,-0.7138672,-1.1713867,-0.13916016,2.8642578,2.71875,-1.3847656,-0.6665039,-3.2519531,-1.3535156,0.10205078,0.07324219,0.09375,0.32226562,0.17480469,0.31982422,0.36669922,0.25097656,-0.075683594,-0.19970703,-0.20166016,-0.18359375,-0.19482422,-0.23730469,-0.3173828,-0.30419922,-0.114746094,0.046875,0.09033203,0.13769531,0.265625,0.4477539,0.48339844,0.6357422,0,0,0,0,0,0,0
-1,-0.72265625,-0.7636719,-0.62109375,-0.38232422,-0.3178711,-0.7314453,-0.49365234,2.508789,3.678711,-0.43945312,-0.78515625,-3.2021484,-1.6914062,-0.42919922,-0.08203125,-0.032226562,0.24072266,0.35498047,0.4116211,0.5649414,0.38623047,-0.03466797,-0.3022461,-0.40429688,-0.2524414,-0.17382812,-0.17236328,-0.14208984,-0.19628906,-0.20214844,-0.052734375,0.123046875,0.2421875,0.2866211,0.47509766,0.58251953,0.6586914,0.6621094,0,0,0,0,0,0
-1,-0.60253906,-0.6635742,-0.7836914,-0.7368164,-0.8256836,-1.090332,0.203125,2.4448242,2.4414062,-0.38232422,-1.1103516,-3.3149414,-1.8974609,-0.31884766,0.18359375,0.08886719,0.2265625,0.359375,0.4560547,0.29492188,0.23779297,-0.06201172,-0.2133789,-0.107421875,0.0390625,-0.07128906,-0.234375,-0.3491211,-0.44091797,-0.45507812,-0.20996094,-0.057617188,0.036621094,0.25439453,0.39453125,0.49609375,0.61328125,0,0,0,0,0,0,0
-1,-0.3359375,-0.34179688,-0.41503906,-0.5839844,-0.65234375,-0.9863281,-1.4541016,0.91015625,3.6254883,1.7124023,-0.5917969,-2.9643555,-3.0986328,-1.2695312,0.62402344,0.16894531,0.5214844,0.41015625,0.39697266,0.52441406,0.57128906,0.35253906,-0.1850586,-0.47216797,-0.29638672,-0.21386719,-0.19140625,-0.2529297,-0.2836914,-0.28857422,-0.15966797,0.16503906,0.14892578,0.067871094,0.3100586,0.37646484,0.4116211,0.51660156,0,0,0,0,0,0
-1,-0.45898438,-0.57714844,-0.68115234,-0.66064453,-0.6699219,-1.0141602,-0.58447266,3.1728516,4.230957,-0.38330078,-0.60546875,-3.666504,-2.7250977,-0.08691406,-0.052734375,0.10839844,0.29833984,0.48095703,0.7114258,0.6279297,0.6425781,0.056152344,-0.27148438,-0.32763672,-0.18603516,0.0107421875,-0.18261719,-0.26513672,-0.29882812,-0.19628906,0.05419922,0.08154297,0.0029296875,0.14990234,0.3017578,0.26904297,0.33154297,0.51123047,0,0,0,0,0,0
-1,-0.203125,-0.35205078,-0.42285156,-0.54541016,-0.6748047,-0.98291016,-0.9736328,0.6171875,2.9614258,1.9897461,-1.3808594,-1.3554688,-3.0810547,-1.2373047,0.2836914,-0.043945312,0.22705078,0.27001953,0.4868164,0.41064453,0.3569336,0.03564453,-0.26123047,-0.39794922,-0.23925781,-0.08105469,0.046875,-0.140625,-0.30273438,-0.31982422,-0.16503906,0.07373047,0.14648438,0.20800781,0.47558594,0.59814453,0.61279297,0.7548828,0,0,0,0,0,0
-1,-0.64697266,-0.6479492,-0.5288086,-0.53271484,-1.0751953,-0.88183594,1.7636719,3.4389648,0.73339844,-0.9609375,-2.6264648,-2.3066406,-0.39892578,0.3696289,0.17626953,0.3935547,0.40234375,0.38671875,0.33154297,0.10546875,-0.21582031,-0.4868164,-0.4033203,-0.33154297,-0.27734375,-0.41259766,-0.3852539,-0.35351562,-0.26123047,0.020507812,0.15429688,0.26953125,0.46533203,0.64697266,0.8203125,0.8886719,0,0,0,0,0,0,0,0
1,0.6069336,0.76171875,0.7338867,0.2163086,0.31884766,0.6166992,-1.715332,-4.7060547,-1.1533203,1.03125,2.7802734,3.6098633,0.39697266,-0.7963867,-0.77734375,-0.72216797,-0.5546875,-0.5629883,-0.58935547,-0.23583984,-0.04345703,0.2705078,0.1821289,0.13769531,0.09472656,0.1538086,0.27685547,0.46240234,0.71875,0.6279297,0.390625,0.24414062,0.1772461,-0.019042969,-0.13330078,-0.22363281,-0.41064453,0,0,0,0,0,0,0
1,0.46679688,0.61328125,0.6245117,0.44628906,0.65478516,0.7895508,-1.2407227,-3.7368164,-1.6430664,0.9370117,2.3588867,3.418457,0.41601562,-0.4609375,-0.5517578,-0.4321289,-0.3544922,-0.52197266,-0.66259766,-0.41064453,-0.20654297,0.14892578,0.16210938,0.2602539,0.099121094,0.033691406,0.32958984,0.5317383,0.515625,0.4189453,0.296875,0.041992188,-0.036621094,-0.17285156,-0.21826172,-0.30322266,-0.37841797,0,0,0,0,0,0,0
1,0.39990234,0.48486328,0.53027344,0.4560547,0.41503906,0.64404297,-0.32763672,-2.5263672,-1.7470703,0.3798828,1.8896484,2.6074219,0.5917969,-0.1665039,-0.32714844,-0.21679688,-0.30273438,-0.37402344,-0.5605469,-0.56689453,-0.4248047,-0.13623047,-0.037109375,0.095214844,0.040527344,-0.11669922,0.1616211,0.47021484,0.5966797,0.46484375,0.33935547,0.24804688,0.07324219,-0.013671875,-0.1459961,-0.19921875,-0.26513672,-0.30664062,0,0,0,0,0,0
1,0.70458984,0.7631836,0.8442383,0.60302734,0.39257812,0.6694336,-0.5004883,-3.5859375,-2.5463867,0.69091797,1.2421875,3.3144531,1.4682617,-0.35009766,-0.3881836,-0.37451172,-0.53125,-0.36083984,-0.4609375,-0.54052734,-0.39648438,-0.14111328,-0.07910156,0.09277344,0.12939453,-0.12597656,0.10888672,0.4580078,0.5917969,0.66259766,0.60009766,0.31640625,0.045898438,-0.075683594,-0.17578125,-0.1616211,-0.28027344,0,0,0,0,0,0,0
1,0.21923828,0.3330078,0.42871094,0.44189453,0.37109375,0.35791016,0.7216797,-1.9443359,-4.1518555,-0.8017578,1.2446289,2.7905273,3.0771484,0.3569336,-0.82714844,-0.88427734,-0.7475586,-0.46142578,-0.52978516,-0.53466797,-0.40576172,-0.08544922,0.04248047,0.35205078,0.29101562,0.12890625,0.15576172,0.32763672,0.60058594,0.7783203,0.7192383,0.5722656,0.2890625,-0.13623047,-0.09716797,-0.08251953,-0.18017578,-0.23583984,0,0,0,0,0,0
1,0.3955078,0.46435547,0.34375,0.30517578,0.72216797,-0.14892578,-3.887207,-2.1230469,0.79541016,1.8867188,3.8330078,1.4575195,-0.47021484,-1.0561523,-0.75634766,-0.69140625,-0.36035156,-0.40478516,-0.29833984,-0.09375,0.21533203,0.22265625,0.24560547,0.22607422,-0.0126953125,-0.061523438,0.26123047,0.49072266,0.5883789,0.6044922,0.4008789,0.15820312,0.02734375,0.029296875,-0.12451172,-0.31201172,-0.48779297,0,0,0,0,0,0,0
1,0.5878906,0.7055664,0.6425781,0.44433594,0.5029297,0.7446289,-1.7856445,-4.4833984,-1.0917969,1.2299805,2.453125,3.043457,0.40478516,-0.81640625,-0.6953125,-0.35205078,-0.3232422,-0.36279297,-0.46435547,-0.32128906,-0.22509766,0.018554688,0.24169922,0.34814453,0.103027344,0.080566406,0.25195312,0.59521484,0.6611328,0.65185547,0.34521484,0.111816406,-0.047851562,0.04345703,-0.038085938,-0.15332031,-0.34716797,0,0,0,0,0,0,0
1,0.33984375,0.47558594,0.48046875,0.40527344,0.8354492,1.1137695,-0.86621094,-3.5698242,-1.5766602,1.4584961,2.1391602,2.7949219,0.46923828,-0.9975586,-0.69628906,-0.5991211,-0.4038086,-0.46923828,-0.5307617,-0.4609375,-0.15332031,0.1352539,0.3383789,0.42041016,0.22167969,0.1743164,0.3803711,0.6308594,0.6948242,0.4638672,0.27490234,0.11767578,-0.0234375,-0.20800781,-0.41357422,-0.62353516,-0.68066406,0,0,0,0,0,0,0
1,0.43847656,0.65234375,0.8413086,0.75390625,0.6352539,0.79785156,-0.3779297,-3.5952148,-2.1435547,0.38232422,1.5058594,3.678711,1.6665039,-0.4116211,-1.1206055,-0.6464844,-0.5493164,-0.30322266,-0.4013672,-0.3935547,-0.14990234,-0.01953125,-0.013671875,0.05517578,0.09375,-0.03125,0.04638672,0.32958984,0.51953125,0.7919922,0.59277344,0.375,0.15722656,0.033203125,-0.14013672,-0.20507812,-0.33984375,-0.56396484,0,0,0,0,0,0
1,0.4169922,0.54541016,0.50146484,0.47851562,0.83740234,0.8466797,-1.7202148,-3.5307617,-1.3554688,1.1601562,2.2583008,3.3842773,0.6484375,-0.55126953,-0.64941406,-0.50341797,-0.32910156,-0.34814453,-0.49316406,-0.43798828,-0.14990234,0.076660156,0.19970703,0.23486328,-0.096191406,-0.044433594,0.22949219,0.42626953,0.41796875,0.2607422,0.16308594,-0.016601562,-0.23095703,-0.22216797,-0.2788086,-0.3569336,-0.4165039,-0.39208984,0,0,0,0,0,0
1,0.7553711,0.8520508,0.5864258,0.5102539,0.57910156,-0.48095703,-3.3862305,-2.084961,0.49609375,1.4677734,3.2138672,1.0576172,-0.23486328,-0.6738281,-0.20507812,-0.21972656,-0.21826172,-0.43017578,-0.35351562,-0.022949219,-0.07714844,0.079589844,0.20751953,0.040527344,-0.10644531,0.23046875,0.4111328,0.54345703,0.49804688,0.3955078,0.26367188,0.040527344,-0.084472656,-0.25146484,-0.32080078,-0.4716797,-0.53564453,0,0,0,0,0,0,0
1,0.5029297,0.5854492,0.46435547,0.31201172,0.49316406,0.39941406,-1.4697266,-3.3017578,-1.1884766,1.1665039,1.7299805,2.647461,0.19873047,-0.5722656,-0.30908203,-0.16503906,-0.13964844,-0.27978516,-0.35742188,-0.3515625,-0.04296875,-0.08544922,-0.033203125,0.043945312,-0.24267578,-0.19433594,0.08203125,0.31835938,0.4868164,0.5053711,0.39990234,0.21875,0.05029297,0.03564453,-0.14404297,-0.15234375,-0.33203125,0,0,0,0,0,0,0
1,0.77441406,0.77685547,0.7006836,0.5551758,0.578125,0.64501953,-1.6591797,-4.232422,-1.5913086,1.1518555,2.1762695,2.9492188,0.2783203,-0.49853516,-0.2788086,-0.33642578,-0.24853516,-0.44189453,-0.43164062,-0.2734375,-0.060058594,-0.09814453,0.14794922,0.06738281,-0.07373047,0.03955078,0.2709961,0.4584961,0.6010742,0.453125,0.27734375,0.057617188,-0.14697266,-0.16259766,-0.19335938,-0.22998047,-0.29492188,0,0,0,0,0,0,0
1,0.6152344,0.70703125,0.55810547,0.2841797,0.35205078,0.2709961,-2.3100586,-3.7163086,-0.4272461,1.5161133,3.019043,2.3515625,-0.08251953,-0.61083984,-0.08300781,-0.36523438,-0.14160156,-0.22460938,-0.20605469,-0.23535156,-0.056640625,-0.080078125,0.057128906,-0.072753906,-0.20263672,-0.02734375,0.28076172,0.42333984,0.5185547,0.4736328,0.32226562,0.13183594,0.11621094,-0.052734375,-0.125,-0.31640625,-0.42773438,0,0,0,0,0,0,0
